TG,French Southern Territories,140
TH,Togo,7889094
TJ,Thailand,69428524
TK,Tajikistan,9100837
TL,Tokelau,1466
TM,Timor-Leste,1267972
TN,Turkmenistan,5850908
TO,Tunisia,11565204
TR,Tonga,103197
TT,Turkey,82319724
TV,Trinidad and Tobago,1389858
TW,Tuvalu,11508
TZ,Taiwan,22894384
UA,Tanzania,56318348
UG,Ukraine,44622516
UM,Uganda,42723139
US,U.S. Minor Outlying Islands,0
UY,United States,327167434
UZ,Uruguay,3449299
VA,Uzbekistan,32955400
VC,Vatican City,921
VE,St Vincent and Grenadines,110211
VG,Venezuela,28870195
VI,British Virgin Islands,29802
VN,U.S. Virgin Islands,106977
VU,Vietnam,95540395
WF,Vanuatu,292680
WS,Wallis and Futuna,16025
XK,Samoa,196130
YE,Kosovo,1845300
YT,Yemen,28498687
ZA,Mayotte,159042
ZM,South Africa,57779622
ZW,Zambia,17351822
